Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1,"Cold Plate (Aluminum, Serpentine)",COOL,PLT,"Aluminum 6061-T6",Class 3,1,2.916,23.33,2.916,23.33,"Alcoa",4,BTRM-COOL-PLT-0001
2,"Cold Plate Port IN",COOL,PRT,"Aluminum 6061-T6",Class 3,1,0.011,0.08,0.011,0.08,"Alcoa",4,BTRM-COOL-PRT-0001
3,"Cold Plate Port OUT",COOL,PRT,"Aluminum 6061-T6",Class 3,1,0.011,0.08,0.011,0.08,"Alcoa",4,BTRM-COOL-PRT-0002
4,"4680 Cell 1",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0001
5,"4680 Cell 2",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0002
6,"4680 Cell 3",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0003
7,"4680 Cell 4",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0004
8,"4680 Cell 5",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0005
9,"4680 Cell 6",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0006
10,"4680 Cell 7",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0007
11,"4680 Cell 8",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0008
12,"4680 Cell 9",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0009
13,"4680 Cell 10",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0010
14,"4680 Cell 11",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0011
15,"4680 Cell 12",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0012
16,"4680 Cell 13",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0013
17,"4680 Cell 14",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0014
18,"4680 Cell 15",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0015
19,"4680 Cell 16",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0016
20,"4680 Cell 17",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0017
21,"4680 Cell 18",CELL,468,"Steel AISI 1020",Class 3,1,0.357,1.78,0.357,1.78,"TBD",4,BTRM-CELL-468-0018
