item,qty,role,material,volume_cm3,massEach_kg,massTotal_kg
fan_disk,1,static,Ti-6Al-4V,33760.5,149.559,149.559
fan_blade,22,blade,Ti-6Al-4V,3902.7,17.289,380.356
lpc_s1_disk,1,static,Ti-6Al-4V,4870.5,21.576,21.576
lpc_s1_blade,38,blade,Ti-6Al-4V,95,0.421,15.991
lpc_s2_disk,1,static,Ti-6Al-4V,4870.5,21.576,21.576
lpc_s2_blade,38,blade,Ti-6Al-4V,82.6,0.366,13.905
lpc_s3_disk,1,static,Ti-6Al-4V,4870.5,21.576,21.576
lpc_s3_blade,38,blade,Ti-6Al-4V,70.2,0.311,11.819
hpc_s1_disk,1,static,Ti-6Al-4V,2357.1,10.442,10.442
hpc_s1_blade,46,blade,Ti-6Al-4V,35.1,0.155,7.146
hpc_s2_disk,1,static,Ti-6Al-4V,2357.1,10.442,10.442
hpc_s2_blade,46,blade,Ti-6Al-4V,28.2,0.125,5.756
hpc_s3_disk,1,static,Ti-6Al-4V,2357.1,10.442,10.442
hpc_s3_blade,46,blade,Ti-6Al-4V,21.4,0.095,4.367
hpc_s4_disk,1,static,Ti-6Al-4V,2357.1,10.442,10.442
hpc_s4_blade,46,blade,Ti-6Al-4V,14.6,0.065,2.977
hpc_s5_disk,1,static,Ti-6Al-4V,2357.1,10.442,10.442
hpc_s5_blade,46,blade,Ti-6Al-4V,7.8,0.035,1.588
combustor,1,static,Inconel 718,23690.9,194.028,194.028
hpt_s1_disk,1,static,Inconel 718,3946,32.318,32.318
hpt_s1_blade,52,blade,Ti-6Al-4V,128,0.567,29.481
hpt_s2_disk,1,static,Inconel 718,3946,32.318,32.318
hpt_s2_blade,52,blade,Ti-6Al-4V,128,0.567,29.481
lpt_s1_disk,1,static,Inconel 718,6494,53.186,53.186
lpt_s1_blade,60,blade,Ti-6Al-4V,205.3,0.91,54.571
lpt_s2_disk,1,static,Inconel 718,6494,53.186,53.186
lpt_s2_blade,60,blade,Ti-6Al-4V,250.6,1.11,66.609
lpt_s3_disk,1,static,Inconel 718,6494,53.186,53.186
lpt_s3_blade,60,blade,Ti-6Al-4V,295.9,1.311,78.647
lpt_s4_disk,1,static,Inconel 718,6494,53.186,53.186
lpt_s4_blade,60,blade,Ti-6Al-4V,341.2,1.511,90.684
lpt_s5_disk,1,static,Inconel 718,6494,53.186,53.186
lpt_s5_blade,60,blade,Ti-6Al-4V,386.5,1.712,102.722
lp_shaft,1,static,Steel (structure),47182.8,370.385,370.385
hp_shaft,1,static,Steel (structure),24542.1,192.656,192.656
core_casing,1,static,Steel (structure),491370.2,3857.256,3857.256
nacelle,1,static,Steel (structure),3549122.1,27860.609,27860.609
bypass_duct,1,static,Steel (structure),3533613.2,27738.863,27738.863
