Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1,"Fan Spinner Cone",INLE,SPN,"Composite Carbon-Epoxy",Class 3,1,162.298,35705.46,162.298,35705.46,"Hexcel",4,GE9X-INLE-SPN-0001
2,"Spinner Tip Cap",INLE,CAP,"Aluminum 6061-T6",Class 3,1,0,0,0,0,"Alcoa",4,GE9X-INLE-CAP-0001
3,"Spinner Aft Bolt 1",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0001
4,"Spinner Aft Bolt 2",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0002
5,"Spinner Aft Bolt 3",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0003
6,"Spinner Aft Bolt 4",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0004
7,"Spinner Aft Bolt 5",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0005
8,"Spinner Aft Bolt 6",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0006
9,"Spinner Aft Bolt 7",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0007
10,"Spinner Aft Bolt 8",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0008
11,"Spinner Aft Bolt 9",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0009
12,"Spinner Aft Bolt 10",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0010
13,"Spinner Aft Bolt 11",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0011
14,"Spinner Aft Bolt 12",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0012
15,"Spinner Aft Bolt 13",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0013
16,"Spinner Aft Bolt 14",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0014
17,"Spinner Aft Bolt 15",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0015
18,"Spinner Aft Bolt 16",INLE,BLT,"Steel AISI 4340",Class 3,1,0.005,0.03,0.005,0.03,"Carpenter Technology",2,GE9X-INLE-BLT-0016
19,"Fan Disk",FAN,DSK,"Titanium Ti-6Al-4V",Class 1,1,827.319,53775.72,827.319,53775.72,"TIMET",26,GE9X-FAN-DSK-0001
20,"Fan Blade 1",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0001
21,"Fan Blade 2",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0002
22,"Fan Blade 3",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0003
23,"Fan Blade 4",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0004
24,"Fan Blade 5",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0005
25,"Fan Blade 6",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0006
26,"Fan Blade 7",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0007
27,"Fan Blade 8",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0008
28,"Fan Blade 9",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0009
29,"Fan Blade 10",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0010
30,"Fan Blade 11",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0011
31,"Fan Blade 12",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0012
32,"Fan Blade 13",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0013
33,"Fan Blade 14",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0014
34,"Fan Blade 15",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0015
35,"Fan Blade 16",FAN,BLD,"Composite Carbon-Epoxy",Class 1,1,0,0,0,0,"Hexcel",26,GE9X-FAN-BLD-0016
36,"Fan Blade 1 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0001
37,"Fan Blade 2 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0002
38,"Fan Blade 3 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0003
39,"Fan Blade 4 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0004
40,"Fan Blade 5 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0005
41,"Fan Blade 6 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0006
42,"Fan Blade 7 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0007
43,"Fan Blade 8 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0008
44,"Fan Blade 9 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0009
45,"Fan Blade 10 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0010
46,"Fan Blade 11 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0011
47,"Fan Blade 12 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0012
48,"Fan Blade 13 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0013
49,"Fan Blade 14 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0014
50,"Fan Blade 15 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0015
51,"Fan Blade 16 Dovetail",FAN,DVT,"Titanium Ti-6Al-4V",Class 2,1,4.112,267.25,4.112,267.25,"TIMET",8,GE9X-FAN-DVT-0016
52,"Fan Front Retention Ring",FAN,RNG,"Titanium Ti-6Al-4V",Class 2,1,0,0,0,0,"TIMET",8,GE9X-FAN-RNG-0001
53,"Fan Rear Retention Ring",FAN,RNG,"Titanium Ti-6Al-4V",Class 2,1,0,0,0,0,"TIMET",8,GE9X-FAN-RNG-0002
54,"Fan Case (Composite)",FAN,CSG,"Composite Carbon-Epoxy",Class 2,1,516.478,113625.12,516.478,113625.12,"Hexcel",12,GE9X-FAN-CSG-0001
55,"Fan Case Abradable Strip",FAN,ABR,"ABS Plastic",Class 2,1,34.679,173.4,34.679,173.4,"TBD",8,GE9X-FAN-ABR-0001
56,"OGV 1",FAN,OGV,"Composite Carbon-Epoxy",Class 2,1,1.907,419.63,1.907,419.63,"Hexcel",8,GE9X-FAN-OGV-0001
57,"OGV 2",FAN,OGV,"Composite Carbon-Epoxy",Class 2,1,1.907,419.63,1.907,419.63,"Hexcel",8,GE9X-FAN-OGV-0002
58,"OGV 3",FAN,OGV,"Composite Carbon-Epoxy",Class 2,1,1.907,419.63,1.907,419.63,"Hexcel",8,GE9X-FAN-OGV-0003
