Category,Count,Mass_kg,Cost_USD,CO2_kg,Energy_kWh
LPT,1489,690.9,81340,10984,44100
HPC,1677,537.4,75007,14330,53756
COMB,12066,74.5,63849,1120,4183
HPT,10989,256,60592,3409,12247
LPC,394,283.8,41608,10401,37974
FAN,141,492.2,25424,8817,31455
EXH,14,133.4,16143,2189,8658
SHFT,6,306,8367,1270,3206
TRV,16,53.6,6785,1758,6431
NAC,8,220,6364,2949,10328
FAS,1296,7.8,6278,27,73
MNT,206,29,5048,1042,3798
AGB,32,114.2,3160,1213,4152
ELEC,404,39.4,2618,311,1082
FUEL,38,68.5,2186,891,3109
BRG,126,44.7,1694,216,585
PIP,320,12.8,1683,94,298
OIL,27,44,1429,578,2018
AIR,20,8.8,1029,138,558
STR,130,13,737,165,590
FADE,110,11,652,82,260
FIRE,62,10.5,476,42,116
INLE,18,12.9,442,170,593
HYD,36,6.5,246,47,150
DRN,40,1.4,206,13,46
IGN,4,3.5,86,41,146
TOTAL,29669,3475.7,413450,62296,229910
