Task ID,Title,Interval Hours,Interval Cycles,Calendar Days,Labor (hr),LLP,EM Reference,Tooling
72001-A,"Pre-flight visual inspection",every flight,,,0.25,no,72-00-00-200,"flashlight; borescope-eye"
72002-A,"Engine oil quantity + visual",1,,,0.1,no,72-60-00,"none"
72100,"Borescope inspection — fan, LPC",100,200,90,1.5,no,72-30-00-680,"Olympus IV9000 borescope; access port plug wrenches"
72101,"HPC borescope (3 ports)",200,400,180,2,no,72-30-00-685,"Olympus IV9000; BS-HPC-1/2/3 plugs"
72200,"Combustor borescope inspection",200,400,180,2.5,no,72-40-00-680,"articulating borescope; BS-COMB-1; BS-COMB-2"
72300,"HPT stage-1 blade borescope",200,400,180,3,YES,72-50-00-680,"articulating borescope; BS-HPT-1"
72400,"Engine oil change + filter element",1000,,365,1.5,no,72-60-00-200,"oil-can spanner kit; spectrographic analysis bottle"
72401,"Magnetic chip detector inspection",200,,90,0.5,no,72-60-00-220,"MCD removal tool"
72500,"Fan blade FPI (fluorescent penetrant inspection)",5000,10000,,8,no,72-30-00-630,"UV lamp 365nm; penetrant kit Type II; developer"
72600,"HPT blade replacement (LCF limit)",,12000,,24,YES,72-50-00-400,"Hot-section work-stand; turbine-disk lift fixture; HPT alignment fixtures"
72700,"Hot section refurbishment",,18000,,240,YES,72-00-00-700,"full engine work-stand; piece-part inspection bench; stator-vane shop"
72701,"Engine performance restoration",,24000,,480,YES,72-00-00-800,"MRO shop visit"
72050,"EGT margin trending check",50,,,0.25,no,72-90-00-200,"data-bus reader"
72060,"Vibration trending",50,,,0.25,no,72-90-00-210,"FADEC data extract"
72900,"Bird-strike investigation",event,,,4,no,72-30-00-690,"borescope; fan-blade dent gauge; sample bag"
LLP-FAN-DSK,"LLP — Fan disk replacement",,30000,,40,YES,72-30-00-LLP-1,"fan-module work-stand"
LLP-LPT-DSK,"LLP — LPT disk set replacement",,18000,,80,YES,72-50-00-LLP-2,"LPT module work-stand"
LLP-HPT-DSK,"LLP — HPT disk set replacement",,12000,,80,YES,72-50-00-LLP-1,"HPT module work-stand"
LLP-HPC-DSK,"LLP — HPC disk set replacement",,24000,,120,YES,72-30-00-LLP-3,"HPC module work-stand"
72950,"Engine wash (compressor performance recovery)",1500,,,4,no,72-00-00-100,"core wash cart; demineralized water supply; detergent (B&B-3100 or eq.)"
72951,"Cooling-air filter cleaning",1000,,,1,no,72-50-00-300,"filter wrench; cleaning solvent"
72801,"Bird-strike post-event LCF debit",event,,,0.5,YES,72-00-00-690,"data-record system"
72802,"Hard-landing inspection",event,,,6,no,72-00-00-695,"borescope; shaft-runout fixture; mount link gauges"
