Altitude_m,Altitude_ft,Mach,T4_K,Thrust_kN,Thrust_lbf,SFC_kg_per_Nhr,SFC_lbm_per_lbfhr,MassFlow_kg_s,OPR,EGT_C,Propulsive_eff_pct,Thermal_eff_pct
0,0,0.00,1925,394.5,88688,0.0326,0.319,1361,59.9,701,0,37.6
0,0,0.20,1915,314.9,70793,0.0404,0.396,1372,59.9,683,21.7,52.1
0,0,0.40,1905,259.6,58361,0.0485,0.476,1405,59.9,650,39.7,62.4
0,0,0.60,1895,220.2,49503,0.0565,0.554,1459,59.9,600,55.2,70.6
0,0,0.80,1885,188.5,42377,0.0648,0.635,1535,59.9,535,69.2,67.5
0,0,0.85,1883,180.7,40623,0.0671,0.658,1558,59.9,516,72.5,64.5
0,0,0.90,1880,172.4,38757,0.0698,0.684,1581,59.9,496,76,60.7
1500,4922,0.00,1898,339,76211,0.0328,0.322,1176,59.9,707,0,36.7
1500,4922,0.20,1888,271.6,61058,0.0406,0.398,1185,59.9,689,21.3,50.9
1500,4922,0.40,1878,225,50582,0.0486,0.476,1213,59.9,656,39,61
1500,4922,0.60,1868,192.2,43208,0.0563,0.552,1260,59.9,608,54.4,69.2
1500,4922,0.80,1858,166.4,37408,0.0639,0.627,1326,59.9,545,68.2,66.6
1500,4922,0.85,1856,160.2,36015,0.066,0.647,1345,59.9,526,71.4,63.8
1500,4922,0.90,1853,153.9,34598,0.0682,0.669,1366,59.9,507,74.6,60.6
3000,9843,0.00,1871,289.6,65105,0.0331,0.325,1010,59.9,712,0,35.9
3000,9843,0.20,1861,232.8,52336,0.0408,0.4,1018,59.9,694,20.9,49.7
3000,9843,0.40,1851,193.7,43546,0.0487,0.477,1042,59.9,662,38.4,59.6
3000,9843,0.60,1841,166.5,37431,0.0561,0.55,1083,59.9,616,53.5,67.7
3000,9843,0.80,1831,145.6,32732,0.0633,0.62,1139,59.9,554,67.1,65.5
3000,9843,0.85,1829,140.7,31631,0.0651,0.639,1156,59.9,537,70.3,63.1
3000,9843,0.90,1826,135.8,30529,0.0671,0.658,1174,59.9,518,73.5,60.1
5000,16405,0.00,1835,232.5,52268,0.0336,0.329,818,59.9,719,0,34.7
5000,16405,0.20,1825,187.7,42197,0.0412,0.404,824,59.9,702,20.4,48.1
5000,16405,0.40,1815,157.1,35318,0.0489,0.48,844,59.9,671,37.5,57.7
5000,16405,0.60,1805,136,30574,0.0561,0.55,877,59.9,626,52.3,65.6
5000,16405,0.80,1795,120.3,27045,0.0627,0.615,922,59.9,567,65.7,64
5000,16405,0.85,1793,116.8,26258,0.0644,0.631,936,59.9,550,68.8,61.8
5000,16405,0.90,1790,113.2,25448,0.0661,0.648,950,59.9,532,71.9,59.2
7000,22967,0.00,1799,184.3,41432,0.034,0.334,655,59.9,726,0,33.6
7000,22967,0.20,1789,149.4,33587,0.0417,0.408,660,59.9,709,19.8,46.5
7000,22967,0.40,1779,125.7,28259,0.0492,0.483,676,59.9,679,36.5,55.8
7000,22967,0.60,1769,109.6,24639,0.0562,0.551,702,59.9,636,51.1,63.5
7000,22967,0.80,1759,97.9,22009,0.0624,0.612,739,59.9,580,64.2,62.3
7000,22967,0.85,1757,95.3,21424,0.0639,0.627,750,59.9,564,67.3,60.4
7000,22967,0.90,1754,92.7,20840,0.0655,0.642,761,59.9,547,70.3,58
9000,29529,0.00,1763,144.1,32395,0.0346,0.339,518,59.9,733,0,32.5
9000,29529,0.20,1753,117.3,26370,0.0422,0.413,522,59.9,716,19.3,44.8
9000,29529,0.40,1743,99.2,22301,0.0497,0.487,535,59.9,688,35.6,53.8
9000,29529,0.60,1733,87,19558,0.0564,0.553,555,59.9,646,49.9,61.3
9000,29529,0.80,1723,78.4,17625,0.0623,0.611,584,59.9,593,62.7,60.5
9000,29529,0.85,1721,76.5,17198,0.0637,0.625,593,59.9,577,65.7,58.8
9000,29529,0.90,1718,74.7,16793,0.0652,0.639,602,59.9,561,68.7,56.7
10670,35008,0.00,1733,116,26078,0.0351,0.344,422,59.9,738,0,31.5
10670,35008,0.20,1723,94.7,21290,0.0426,0.418,425,59.9,722,18.8,43.4
10670,35008,0.40,1713,80.4,18075,0.0501,0.491,435,59.9,695,34.8,52.2
10670,35008,0.60,1703,70.9,15939,0.0567,0.556,452,59.9,655,48.8,59.4
10670,35008,0.80,1693,64.3,14455,0.0624,0.612,476,59.9,603,61.4,58.9
10670,35008,0.85,1690,62.9,14141,0.0638,0.625,483,59.9,588,64.3,57.3
10670,35008,0.90,1688,61.5,13826,0.0651,0.638,490,59.9,573,67.3,55.5
12000,39372,0.00,1709,94.4,21222,0.0347,0.341,345,59.9,721,0,31.7
12000,39372,0.20,1699,77,17310,0.0422,0.414,348,59.9,705,18.9,43.6
12000,39372,0.40,1689,65.3,14680,0.0496,0.486,356,59.9,678,34.9,52.4
12000,39372,0.60,1679,57.6,12949,0.0562,0.551,370,59.9,638,48.9,59.7
12000,39372,0.80,1669,52.1,11713,0.0619,0.607,390,59.9,587,61.6,59.1
12000,39372,0.85,1667,51,11465,0.0632,0.62,395,59.9,572,64.5,57.6
12000,39372,0.90,1664,49.8,11196,0.0645,0.633,401,59.9,557,67.5,55.7
13000,42653,0.00,1691,80.2,18030,0.0343,0.336,295,59.9,703,0,32
13000,42653,0.20,1681,65.4,14703,0.0417,0.409,297,59.9,687,19,44.1
13000,42653,0.40,1671,55.4,12454,0.049,0.481,304,59.9,659,35.2,53
13000,42653,0.60,1661,48.7,10948,0.0556,0.545,316,59.9,620,49.3,60.4
13000,42653,0.80,1651,44,9892,0.0613,0.601,333,59.9,569,62,59.7
13000,42653,0.85,1649,43,9667,0.0626,0.614,338,59.9,554,65,58.1
13000,42653,0.90,1646,42,9442,0.064,0.627,343,59.9,538,68,56.1
