Item,Name,Category,Subsystem,Material,Qty,Sample IDs
1,"Fan Spinner Cone","INLE","SPN","Composite Carbon-Epoxy",1,"GE9X-INLE-SPN-0001"
2,"Spinner Tip Cap","INLE","CAP","Aluminum 6061-T6",1,"GE9X-INLE-CAP-0001"
3,"Spinner Aft Bolt 1","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0001"
4,"Spinner Aft Bolt 2","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0002"
5,"Spinner Aft Bolt 3","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0003"
6,"Spinner Aft Bolt 4","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0004"
7,"Spinner Aft Bolt 5","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0005"
8,"Spinner Aft Bolt 6","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0006"
9,"Spinner Aft Bolt 7","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0007"
10,"Spinner Aft Bolt 8","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0008"
11,"Spinner Aft Bolt 9","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0009"
12,"Spinner Aft Bolt 10","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0010"
13,"Spinner Aft Bolt 11","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0011"
14,"Spinner Aft Bolt 12","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0012"
15,"Spinner Aft Bolt 13","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0013"
16,"Spinner Aft Bolt 14","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0014"
17,"Spinner Aft Bolt 15","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0015"
18,"Spinner Aft Bolt 16","INLE","BLT","Steel AISI 4340",1,"GE9X-INLE-BLT-0016"
19,"Fan Disk","FAN","DSK","Titanium Ti-6Al-4V",1,"GE9X-FAN-DSK-0001"
20,"Fan Blade 1","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0001"
21,"Fan Blade 2","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0002"
22,"Fan Blade 3","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0003"
23,"Fan Blade 4","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0004"
24,"Fan Blade 5","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0005"
25,"Fan Blade 6","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0006"
26,"Fan Blade 7","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0007"
27,"Fan Blade 8","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0008"
28,"Fan Blade 9","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0009"
29,"Fan Blade 10","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0010"
30,"Fan Blade 11","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0011"
31,"Fan Blade 12","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0012"
32,"Fan Blade 13","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0013"
33,"Fan Blade 14","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0014"
34,"Fan Blade 15","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0015"
35,"Fan Blade 16","FAN","BLD","Composite Carbon-Epoxy",1,"GE9X-FAN-BLD-0016"
36,"Fan Blade 1 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0001"
37,"Fan Blade 2 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0002"
38,"Fan Blade 3 Dovetail","FAN","DVT","Titanium Ti-6Al-4V",1,"GE9X-FAN-DVT-0003"
