Depth,PartID,Name,Category,Subsystem,Material,Class,Mass_kg,Unit_Cost_USD
0,TYV6-BLK-CST-0001,"Cylinder Block (Aluminum, Open-Deck V6 60°)",BLK,CST,"Aluminum 6061-T6",Class 3,77.276,618.21
0,TYV6-BLK-LNR-0001,"Cylinder Liner 1-A",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-LNR-0002,"Cylinder Liner 2-A",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-LNR-0003,"Cylinder Liner 3-A",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-LNR-0004,"Cylinder Liner 1-B",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-LNR-0005,"Cylinder Liner 2-B",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-LNR-0006,"Cylinder Liner 3-B",BLK,LNR,"Cast Iron",Class 3,0.365,1.82
0,TYV6-BLK-MBC-0001,"Main Bearing Cap 1 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1.766,10.6
0,TYV6-BLK-MBC-0002,"Main Bearing Cap 2 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1.766,10.6
0,TYV6-BLK-MBC-0003,"Main Bearing Cap 3 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1.766,10.6
0,TYV6-BLK-MBC-0004,"Main Bearing Cap 4 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1.766,10.6
0,TYV6-BLK-DCK-0001,"Block Top Deck Plate (Bore deck)",BLK,DCK,"Aluminum 6061-T6",Class 3,3.021,24.17
0,TYV6-HEAD-CST-0001,"Cylinder Head A (DOHC 24-V Atkinson)",HEAD,CST,"Aluminum 6061-T6",Class 3,14.04,112.32
0,TYV6-HEAD-GSK-0001,"Head Gasket Bank A (MLS)",HEAD,GSK,"Stainless Steel 316",Class 3,0.48,5.76
0,TYV6-HEAD-COV-0001,"Valve Cover Bank A",HEAD,COV,"Aluminum 6061-T6",Class 3,1.4,11.2
0,TYV6-HEAD-CST-0002,"Cylinder Head B (DOHC 24-V Atkinson)",HEAD,CST,"Aluminum 6061-T6",Class 3,14.04,112.32
0,TYV6-HEAD-GSK-0002,"Head Gasket Bank B (MLS)",HEAD,GSK,"Stainless Steel 316",Class 3,0.48,5.76
0,TYV6-HEAD-COV-0002,"Valve Cover Bank B",HEAD,COV,"Aluminum 6061-T6",Class 3,1.4,11.2
0,TYV6-CRNK-SFT-0001,"Crankshaft (Forged 4140 Steel, 6-throw)",CRNK,SFT,"Steel AISI 4340",Class 3,11.027,66.16
0,TYV6-CRNK-CWT-0001,"Crankshaft Counterweight 1",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0002,"Crankshaft Counterweight 2",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0003,"Crankshaft Counterweight 3",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0004,"Crankshaft Counterweight 4",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0005,"Crankshaft Counterweight 5",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0006,"Crankshaft Counterweight 6",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0007,"Crankshaft Counterweight 7",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-CRNK-CWT-0008,"Crankshaft Counterweight 8",CRNK,CWT,"Steel AISI 4340",Class 3,2.194,13.17
0,TYV6-BRG-MBU-0001,"Main Bearing Upper Half 1",BRG,MBU,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBL-0001,"Main Bearing Lower Half 1",BRG,MBL,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBU-0002,"Main Bearing Upper Half 2",BRG,MBU,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBL-0002,"Main Bearing Lower Half 2",BRG,MBL,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBU-0003,"Main Bearing Upper Half 3",BRG,MBU,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBL-0003,"Main Bearing Lower Half 3",BRG,MBL,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBU-0004,"Main Bearing Upper Half 4",BRG,MBU,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-MBL-0004,"Main Bearing Lower Half 4",BRG,MBL,"Copper C11000",Class 3,0.106,1.69
0,TYV6-BRG-THR-0001,"Thrust Bearing Washer 1",BRG,THR,"Copper C11000",Class 3,0.059,0.94
0,TYV6-BRG-THR-0002,"Thrust Bearing Washer 2",BRG,THR,"Copper C11000",Class 3,0.059,0.94
0,TYV6-CRNK-PUL-0001,"Crankshaft Front Damper Pulley (TVD)",CRNK,PUL,"Steel AISI 4340",Class 3,3.921,23.52
0,TYV6-CRNK-REL-0001,"Crank Position Reluctor Ring (36-1 tooth)",CRNK,REL,"Steel AISI 1020",Class 3,0.152,0.76
0,TYV6-CRNK-FLX-0001,"Flexplate (interfaces to hybrid power-split)",CRNK,FLX,"Steel AISI 4340",Class 3,3.861,23.16
0,TYV6-ROD-BDY-0001,"Connecting Rod 1-A",ROD,BDY,"Steel AISI 4340",Class 3,0.453,2.72
0,TYV6-ROD-CAP-0001,"Rod Big-End Cap 1-A",ROD,CAP,"Steel AISI 4340",Class 3,0.088,0.53
0,TYV6-BRG-ROD-0001,"Rod Bearing Half 1-A Up",BRG,ROD,"Copper C11000",Class 3,0.087,1.39
0,TYV6-BRG-ROD-0002,"Rod Bearing Half 1-A Lo",BRG,ROD,"Copper C11000",Class 3,0.087,1.39
0,TYV6-ROD-PIN-0001,"Wrist Pin 1-A",ROD,PIN,"Steel AISI 4340",Class 3,0.208,1.25
