Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1042,"Fuse 1",ELEC,FUS,"ABS Plastic",Class 3,2,0.02,0.1,0.04,0.2,"TBD",4,TYV6-ELEC-FUS-0001
1043,"Fuse 2",ELEC,FUS,"ABS Plastic",Class 3,2,0.02,0.1,0.04,0.2,"TBD",4,TYV6-ELEC-FUS-0002
1044,"Fuse 3",ELEC,FUS,"ABS Plastic",Class 3,2,0.02,0.1,0.04,0.2,"TBD",4,TYV6-ELEC-FUS-0003
1045,"Fuse 4",ELEC,FUS,"ABS Plastic",Class 3,2,0.02,0.1,0.04,0.2,"TBD",4,TYV6-ELEC-FUS-0004
1,"Cylinder Block (Aluminum, Open-Deck V6 60°)",BLK,CST,"Aluminum 6061-T6",Class 3,1,77.276,618.21,77.276,618.21,"Alcoa",4,TYV6-BLK-CST-0001
2,"Cylinder Liner 1-A",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0001
3,"Cylinder Liner 2-A",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0002
4,"Cylinder Liner 3-A",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0003
5,"Cylinder Liner 1-B",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0004
6,"Cylinder Liner 2-B",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0005
7,"Cylinder Liner 3-B",BLK,LNR,"Cast Iron",Class 3,1,0.365,1.82,0.365,1.82,"TBD",4,TYV6-BLK-LNR-0006
8,"Main Bearing Cap 1 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1,1.766,10.6,1.766,10.6,"Carpenter Technology",4,TYV6-BLK-MBC-0001
9,"Main Bearing Cap 2 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1,1.766,10.6,1.766,10.6,"Carpenter Technology",4,TYV6-BLK-MBC-0002
10,"Main Bearing Cap 3 (Cross-Bolted)",BLK,MBC,"Steel AISI 4340",Class 3,1,1.766,10.6,1.766,10.6,"Carpenter Technology",4,TYV6-BLK-MBC-0003
