Depth,PartID,Name,Category,Subsystem,Material,Class,Mass_kg,Unit_Cost_USD
0,BTRM-COOL-PLT-0001,"Cold Plate (Aluminum, Serpentine)",COOL,PLT,"Aluminum 6061-T6",Class 3,2.916,23.33
0,BTRM-COOL-PRT-0001,"Cold Plate Port IN",COOL,PRT,"Aluminum 6061-T6",Class 3,0.011,0.08
0,BTRM-COOL-PRT-0002,"Cold Plate Port OUT",COOL,PRT,"Aluminum 6061-T6",Class 3,0.011,0.08
0,BTRM-CELL-468-0001,"4680 Cell 1",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0002,"4680 Cell 2",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0003,"4680 Cell 3",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0004,"4680 Cell 4",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0005,"4680 Cell 5",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0006,"4680 Cell 6",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0007,"4680 Cell 7",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0008,"4680 Cell 8",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0009,"4680 Cell 9",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0010,"4680 Cell 10",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0011,"4680 Cell 11",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0012,"4680 Cell 12",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0013,"4680 Cell 13",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0014,"4680 Cell 14",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
0,BTRM-CELL-468-0015,"4680 Cell 15",CELL,468,"Steel AISI 1020",Class 3,0.357,1.78
