Depth,PartID,Name,Category,Subsystem,Material,Class,Mass_kg,Unit_Cost_USD
0,MRBR-HOU-OUT-0001,"Brake Housing — Outer Cylinder (Flux Return)",HOU,OUT,"Steel AISI 1020",Class 3,1.124,5.62
0,MRBR-HOU-FRT-0001,"Housing Front Cover",HOU,FRT,"Steel AISI 1020",Class 3,0.381,1.91
0,MRBR-HOU-BCK-0001,"Housing Back Cover",HOU,BCK,"Steel AISI 1020",Class 3,0.381,1.91
0,MRBR-ROT-DSK-0001,"MR Brake Rotor Disk",ROT,DSK,"Steel AISI 1020",Class 3,0.169,0.85
0,MRBR-ROT-SFT-0001,"Rotor Shaft",ROT,SFT,"Steel AISI 4340",Class 3,0.031,0.18
0,MRBR-BRG-AC-0001,"Shaft Bearing 1 (Angular Contact)",BRG,AC,"Steel AISI 4340",Class 3,0.028,0.17
0,MRBR-BRG-AC-0002,"Shaft Bearing 2 (Angular Contact)",BRG,AC,"Steel AISI 4340",Class 3,0.028,0.17
0,MRBR-SEAL-DYN-0001,"Shaft Dynamic Seal 1 (PTFE lip seal)",SEAL,DYN,"Nylon 6/6",Class 3,0,0
0,MRBR-SEAL-DYN-0002,"Shaft Dynamic Seal 2 (PTFE lip seal)",SEAL,DYN,"Nylon 6/6",Class 3,0,0
0,MRBR-COIL-WIN-0001,"Electromagnetic Coil (1200 turns × 0.5mm enamelled Cu)",COIL,WIN,"Copper C11000",Class 3,2.157,34.51
0,MRBR-COIL-BOB-0001,"Coil Bobbin (PEEK insulator)",COIL,BOB,"Nylon 6/6",Class 3,0.11,0.55
0,MRBR-STA-POL-0001,"Stator Pole Piece Front",STA,POL,"Steel AISI 1020",Class 3,0.34,1.7
0,MRBR-STA-POL-0002,"Stator Pole Piece Back",STA,POL,"Steel AISI 1020",Class 3,0.34,1.7
0,MRBR-FLU-CHM-0001,"MR Fluid Chamber (annular gap, 0.5mm)",FLU,CHM,"Stainless Steel 316",Class 3,0.031,0.37
0,MRBR-FLU-PRT-0001,"MR Fluid Fill Port",FLU,PRT,"Stainless Steel 316",Class 3,0.003,0.04
0,MRBR-FLU-PRT-0002,"MR Fluid Drain Port",FLU,PRT,"Stainless Steel 316",Class 3,0.003,0.04
0,MRBR-FLU-ACC-0001,"MR Fluid Accumulator",FLU,ACC,"Stainless Steel 316",Class 3,0.033,0.4
0,MRBR-SEAL-ORI-0001,"Chamber O-Ring Seal 1 (Viton)",SEAL,ORI,"Nylon 6/6",Class 3,0,0
