Depth,PartID,Name,Category,Subsystem,Material,Class,Mass_kg,Unit_Cost_USD
0,STCL-STR-TUB-0001,"Frame Vertical Tube 1",STR,TUB,"Steel AISI 1020",Class 3,1.439,7.19
0,STCL-STR-TUB-0002,"Frame Vertical Tube 2",STR,TUB,"Steel AISI 1020",Class 3,1.439,7.19
0,STCL-STR-TUB-0003,"Frame Vertical Tube 3",STR,TUB,"Steel AISI 1020",Class 3,1.439,7.19
0,STCL-STR-TUB-0004,"Frame Vertical Tube 4",STR,TUB,"Steel AISI 1020",Class 3,1.439,7.19
0,STCL-STR-TUB-0005,"Frame Cross-Tube L1 Front",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-TUB-0006,"Frame Cross-Tube L1 Rear",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-TUB-0007,"Frame Cross-Tube L2 Front",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-TUB-0008,"Frame Cross-Tube L2 Rear",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-TUB-0009,"Frame Cross-Tube L3 Front",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-TUB-0010,"Frame Cross-Tube L3 Rear",STR,TUB,"Steel AISI 1020",Class 3,0.48,2.4
0,STCL-STR-BRC-0001,"Frame Diagonal Brace 1",STR,BRC,"Steel AISI 1020",Class 3,0.744,3.72
0,STCL-STR-BRC-0002,"Frame Diagonal Brace 2",STR,BRC,"Steel AISI 1020",Class 3,0.744,3.72
0,STCL-STR-BRC-0003,"Frame Diagonal Brace 3",STR,BRC,"Steel AISI 1020",Class 3,0.744,3.72
0,STCL-STR-BRC-0004,"Frame Diagonal Brace 4",STR,BRC,"Steel AISI 1020",Class 3,0.744,3.72
0,STCL-WHL-HUB-0001,"Tri-Star Hub L",WHL,HUB,"Steel AISI 4340",Class 3,1.568,9.41
0,STCL-WHL-ARM-0001,"Tri-Star Spider Arm L-1",WHL,ARM,"Steel AISI 4340",Class 3,0.773,4.64
0,STCL-WHL-WHB-0001,"Wheel Hub L-1",WHL,WHB,"Aluminum 6061-T6",Class 3,0.134,1.07
0,STCL-WHL-RIM-0001,"Wheel Rim L-1",WHL,RIM,"Aluminum 6061-T6",Class 3,0.385,3.08
0,STCL-WHL-TIR-0001,"Tire L-1",WHL,TIR,"Nylon 6/6",Class 3,0.945,4.72
0,STCL-BRG-WHB-0001,"Wheel Bearing L-1-1",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-BRG-WHB-0002,"Wheel Bearing L-1-2",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-WHL-ARM-0002,"Tri-Star Spider Arm L-2",WHL,ARM,"Steel AISI 4340",Class 3,0.773,4.64
0,STCL-WHL-WHB-0002,"Wheel Hub L-2",WHL,WHB,"Aluminum 6061-T6",Class 3,0.134,1.07
0,STCL-WHL-RIM-0002,"Wheel Rim L-2",WHL,RIM,"Aluminum 6061-T6",Class 3,0.385,3.08
0,STCL-WHL-TIR-0002,"Tire L-2",WHL,TIR,"Nylon 6/6",Class 3,0.945,4.72
0,STCL-BRG-WHB-0003,"Wheel Bearing L-2-1",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-BRG-WHB-0004,"Wheel Bearing L-2-2",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-WHL-ARM-0003,"Tri-Star Spider Arm L-3",WHL,ARM,"Steel AISI 4340",Class 3,0.773,4.64
0,STCL-WHL-WHB-0003,"Wheel Hub L-3",WHL,WHB,"Aluminum 6061-T6",Class 3,0.134,1.07
0,STCL-WHL-RIM-0003,"Wheel Rim L-3",WHL,RIM,"Aluminum 6061-T6",Class 3,0.385,3.08
0,STCL-WHL-TIR-0003,"Tire L-3",WHL,TIR,"Nylon 6/6",Class 3,0.945,4.72
0,STCL-BRG-WHB-0005,"Wheel Bearing L-3-1",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-BRG-WHB-0006,"Wheel Bearing L-3-2",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
0,STCL-AXL-MAI-0001,"Tri-Star Main Axle L",AXL,MAI,"Steel AISI 4340",Class 3,0.346,2.08
0,STCL-BRG-FRM-0001,"Frame-Axle Bearing L",BRG,FRM,"Steel AISI 4340",Class 3,0.156,0.93
0,STCL-WHL-HUB-0002,"Tri-Star Hub R",WHL,HUB,"Steel AISI 4340",Class 3,1.568,9.41
0,STCL-WHL-ARM-0004,"Tri-Star Spider Arm R-1",WHL,ARM,"Steel AISI 4340",Class 3,0.773,4.64
0,STCL-WHL-WHB-0004,"Wheel Hub R-1",WHL,WHB,"Aluminum 6061-T6",Class 3,0.134,1.07
0,STCL-WHL-RIM-0004,"Wheel Rim R-1",WHL,RIM,"Aluminum 6061-T6",Class 3,0.385,3.08
0,STCL-WHL-TIR-0004,"Tire R-1",WHL,TIR,"Nylon 6/6",Class 3,0.945,4.72
0,STCL-BRG-WHB-0007,"Wheel Bearing R-1-1",BRG,WHB,"Steel AISI 4340",Class 3,0.028,0.17
