Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1,"Frame Vertical Tube 1",STR,TUB,"Steel AISI 1020",Class 3,1,1.439,7.19,1.439,7.19,"TBD",4,STCL-STR-TUB-0001
2,"Frame Vertical Tube 2",STR,TUB,"Steel AISI 1020",Class 3,1,1.439,7.19,1.439,7.19,"TBD",4,STCL-STR-TUB-0002
3,"Frame Vertical Tube 3",STR,TUB,"Steel AISI 1020",Class 3,1,1.439,7.19,1.439,7.19,"TBD",4,STCL-STR-TUB-0003
4,"Frame Vertical Tube 4",STR,TUB,"Steel AISI 1020",Class 3,1,1.439,7.19,1.439,7.19,"TBD",4,STCL-STR-TUB-0004
5,"Frame Cross-Tube L1 Front",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0005
6,"Frame Cross-Tube L1 Rear",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0006
7,"Frame Cross-Tube L2 Front",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0007
8,"Frame Cross-Tube L2 Rear",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0008
9,"Frame Cross-Tube L3 Front",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0009
10,"Frame Cross-Tube L3 Rear",STR,TUB,"Steel AISI 1020",Class 3,1,0.48,2.4,0.48,2.4,"TBD",4,STCL-STR-TUB-0010
11,"Frame Diagonal Brace 1",STR,BRC,"Steel AISI 1020",Class 3,1,0.744,3.72,0.744,3.72,"TBD",4,STCL-STR-BRC-0001
12,"Frame Diagonal Brace 2",STR,BRC,"Steel AISI 1020",Class 3,1,0.744,3.72,0.744,3.72,"TBD",4,STCL-STR-BRC-0002
13,"Frame Diagonal Brace 3",STR,BRC,"Steel AISI 1020",Class 3,1,0.744,3.72,0.744,3.72,"TBD",4,STCL-STR-BRC-0003
14,"Frame Diagonal Brace 4",STR,BRC,"Steel AISI 1020",Class 3,1,0.744,3.72,0.744,3.72,"TBD",4,STCL-STR-BRC-0004
15,"Tri-Star Hub L",WHL,HUB,"Steel AISI 4340",Class 3,1,1.568,9.41,1.568,9.41,"Carpenter Technology",4,STCL-WHL-HUB-0001
16,"Tri-Star Spider Arm L-1",WHL,ARM,"Steel AISI 4340",Class 3,1,0.773,4.64,0.773,4.64,"Carpenter Technology",4,STCL-WHL-ARM-0001
17,"Wheel Hub L-1",WHL,WHB,"Aluminum 6061-T6",Class 3,1,0.134,1.07,0.134,1.07,"Alcoa",4,STCL-WHL-WHB-0001
18,"Wheel Rim L-1",WHL,RIM,"Aluminum 6061-T6",Class 3,1,0.385,3.08,0.385,3.08,"Alcoa",4,STCL-WHL-RIM-0001
19,"Tire L-1",WHL,TIR,"Nylon 6/6",Class 3,1,0.945,4.72,0.945,4.72,"TBD",4,STCL-WHL-TIR-0001
20,"Wheel Bearing L-1-1",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0001
21,"Wheel Bearing L-1-2",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0002
22,"Tri-Star Spider Arm L-2",WHL,ARM,"Steel AISI 4340",Class 3,1,0.773,4.64,0.773,4.64,"Carpenter Technology",4,STCL-WHL-ARM-0002
23,"Wheel Hub L-2",WHL,WHB,"Aluminum 6061-T6",Class 3,1,0.134,1.07,0.134,1.07,"Alcoa",4,STCL-WHL-WHB-0002
24,"Wheel Rim L-2",WHL,RIM,"Aluminum 6061-T6",Class 3,1,0.385,3.08,0.385,3.08,"Alcoa",4,STCL-WHL-RIM-0002
25,"Tire L-2",WHL,TIR,"Nylon 6/6",Class 3,1,0.945,4.72,0.945,4.72,"TBD",4,STCL-WHL-TIR-0002
26,"Wheel Bearing L-2-1",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0003
27,"Wheel Bearing L-2-2",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0004
28,"Tri-Star Spider Arm L-3",WHL,ARM,"Steel AISI 4340",Class 3,1,0.773,4.64,0.773,4.64,"Carpenter Technology",4,STCL-WHL-ARM-0003
29,"Wheel Hub L-3",WHL,WHB,"Aluminum 6061-T6",Class 3,1,0.134,1.07,0.134,1.07,"Alcoa",4,STCL-WHL-WHB-0003
30,"Wheel Rim L-3",WHL,RIM,"Aluminum 6061-T6",Class 3,1,0.385,3.08,0.385,3.08,"Alcoa",4,STCL-WHL-RIM-0003
31,"Tire L-3",WHL,TIR,"Nylon 6/6",Class 3,1,0.945,4.72,0.945,4.72,"TBD",4,STCL-WHL-TIR-0003
32,"Wheel Bearing L-3-1",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0005
33,"Wheel Bearing L-3-2",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0006
34,"Tri-Star Main Axle L",AXL,MAI,"Steel AISI 4340",Class 3,1,0.346,2.08,0.346,2.08,"Carpenter Technology",4,STCL-AXL-MAI-0001
35,"Frame-Axle Bearing L",BRG,FRM,"Steel AISI 4340",Class 3,1,0.156,0.93,0.156,0.93,"Carpenter Technology",4,STCL-BRG-FRM-0001
36,"Tri-Star Hub R",WHL,HUB,"Steel AISI 4340",Class 3,1,1.568,9.41,1.568,9.41,"Carpenter Technology",4,STCL-WHL-HUB-0002
37,"Tri-Star Spider Arm R-1",WHL,ARM,"Steel AISI 4340",Class 3,1,0.773,4.64,0.773,4.64,"Carpenter Technology",4,STCL-WHL-ARM-0004
38,"Wheel Hub R-1",WHL,WHB,"Aluminum 6061-T6",Class 3,1,0.134,1.07,0.134,1.07,"Alcoa",4,STCL-WHL-WHB-0004
39,"Wheel Rim R-1",WHL,RIM,"Aluminum 6061-T6",Class 3,1,0.385,3.08,0.385,3.08,"Alcoa",4,STCL-WHL-RIM-0004
40,"Tire R-1",WHL,TIR,"Nylon 6/6",Class 3,1,0.945,4.72,0.945,4.72,"TBD",4,STCL-WHL-TIR-0004
41,"Wheel Bearing R-1-1",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0007
42,"Wheel Bearing R-1-2",BRG,WHB,"Steel AISI 4340",Class 3,1,0.028,0.17,0.028,0.17,"Carpenter Technology",4,STCL-BRG-WHB-0008
