Item,Name,Category,Subsystem,Material,Class,Qty,Unit_Mass_kg,Unit_Cost_USD,Ext_Mass_kg,Ext_Cost_USD,Supplier,Lead_Weeks,Sample_PartID
1,"Turbopump Main Shaft (Inconel 718)",SHFT,MAI,"Inconel 718",Class 1,1,4.793,455.37,4.793,455.37,"Special Metals (PCC)",18,TPSL-SHFT-MAI-0001
2,"Shaft Sleeve (Stellite hardfaced)",SHFT,SLV,"Stainless Steel 316",Class 1,1,0.32,3.84,0.32,3.84,"Carpenter Technology",18,TPSL-SHFT-SLV-0001
3,"Labyrinth Tooth 1",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0001
4,"Labyrinth Tooth 2",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0002
5,"Labyrinth Tooth 3",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0003
6,"Labyrinth Tooth 4",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0004
7,"Labyrinth Tooth 5",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0005
8,"Labyrinth Tooth 6",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0006
9,"Labyrinth Tooth 7",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0007
10,"Labyrinth Tooth 8",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0008
11,"Labyrinth Tooth 9",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0009
12,"Labyrinth Tooth 10",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0010
13,"Labyrinth Tooth 11",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0011
14,"Labyrinth Tooth 12",SEAL,LAB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-LAB-0012
15,"Labyrinth Stator Ring",SEAL,LSR,"Inconel 718",Class 3,1,1.345,127.74,1.345,127.74,"Special Metals (PCC)",4,TPSL-SEAL-LSR-0001
16,"Primary Carbon-Graphite Seal Ring",SEAL,CFS,"Carbon Fiber Composite",Class 3,1,0.067,13.44,0.067,13.44,"Hexcel",4,TPSL-SEAL-CFS-0001
17,"Mating Ring (Stellite-coated Inconel)",SEAL,MTR,"Inconel 718",Class 3,1,0.136,12.91,0.136,12.91,"Special Metals (PCC)",4,TPSL-SEAL-MTR-0001
18,"Face-Load Wave Spring 1",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0001
19,"Face-Load Wave Spring 2",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0002
20,"Face-Load Wave Spring 3",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0003
21,"Face-Load Wave Spring 4",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0004
22,"Face-Load Wave Spring 5",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0005
23,"Face-Load Wave Spring 6",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0006
24,"Face-Load Wave Spring 7",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0007
25,"Face-Load Wave Spring 8",SEAL,SPR,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SPR-0008
26,"Energizer O-Ring (Spring-Loaded PTFE)",SEAL,EOR,"Nylon 6/6",Class 3,1,0,0,0,0,"TBD",4,TPSL-SEAL-EOR-0001
27,"Secondary Labyrinth Tooth 1",SEAL,SLB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SLB-0001
28,"Secondary Labyrinth Tooth 2",SEAL,SLB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SLB-0002
29,"Secondary Labyrinth Tooth 3",SEAL,SLB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SLB-0003
30,"Secondary Labyrinth Tooth 4",SEAL,SLB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SLB-0004
31,"Secondary Labyrinth Tooth 5",SEAL,SLB,"Inconel 718",Class 3,1,0,0,0,0,"Special Metals (PCC)",4,TPSL-SEAL-SLB-0005
