# MAKEOFFSET decomposition census, all 600 parts. BEFORE = ac0ca610 (fixed 24 samples per curved edge),
# AFTER = 483378aa (shipped kOffsetInputDeflection = 3.125e-3 mm chord-deflection budget).
# hausdorff_mm = two-sided max deviation between the two arms' answers, both sampled at 1e-5 x the
# part diagonal in the face's own plane frame (FORGE_MO_DUMP). class is derived from enc_area vs src_enc_area.
part	class	native_status	occt_status	native_edges_BEFORE	native_edges_AFTER	occt_edges	hausdorff_mm_BEFORE	hausdorff_mm_AFTER	src_enc_area	native_enc_area	occt_enc_area	src_outer_wire_kinds	agree_BEFORE	agree_AFTER	part_diag
ho0	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	40424.0625	34099.6136	34099.6136	Line:4	True	True	307.4079374
ho1	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	11047.86	9023.335179	9023.335179	Line:4	True	True	175.2372392
ho10	TESSELLATION	OK	OK	128	658	6	1.050951e-01	2.911636e-03	12855.30369	9763.623504	9764.461184	Line:3|Circle:3	False	False	304.5633267
ho1001	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	25632.81	21387.70168	21387.70168	Line:4	True	True	239.9174441
ho1002	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	9363.25	8081.19851	8081.19851	Line:4	True	True	152.3584589
ho1005	TESSELLATION	OK	OK	546	285	26	6.903560e-02	5.651707e-03	14158.48915	10765.55623	10766.21742	Line:4|Circle:1|BSpline:21	False	False	376.0933888
ho1008	TESSELLATION	OK	OK	181	405	9	1.783381e-02	2.508053e-03	5564.29616	4151.318196	4151.881861	Line:3|Circle:6	False	False	219.3258236
ho1010	AGREE	OK	OK	4	4	4	0.000000e+00	0.000000e+00	12150.76	10227.45863	10227.45863	Line:4	True	True	167.4188161
ho1011	TESSELLATION	OK	OK	100	132	8	4.037816e-03	2.271361e-03	10563.78789	8181.126345	8181.027375	Line:4|Circle:4	False	False	212.2516262
ho1014	AGREE	OK	OK	1116	48	48	1.109903e-13	1.008659e-13	15739.30729	13324.50768	13324.50768	BSpline:48	False	True	242.1409303
ho1017	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	19924.99	16865.439	16865.439	Line:4	True	True	212.1977144
ho1019	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	6768.75	5668.853566	5668.853566	Line:4	True	True	136.1629538
ho102	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	38497.5	33129.82477	33129.82477	Line:4	True	True	294.5390636
ho1020	TESSELLATION	OK	OK	100	132	8	5.449429e-03	1.410881e-03	9187.073604	7462.19759	7462.132385	Line:4|Circle:4	False	False	169.6436439
ho1024	TESSELLATION	OK	OK	316	840	16	4.585352e-02	2.456681e-03	13649.20683	8830.172603	8831.512521	Line:5|Circle:9	False	False	240.2514724
ho1025	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	15071.92	13205.0281	13205.0281	Line:4	True	True	184.8446916
ho103	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	18009.3	14989.95192	14989.95192	Line:4	True	True	216.4842258
ho1030	TESSELLATION	OK	OK	359	970	16	5.617652e-02	2.948625e-03	7471.694201	4142.980939	4144.269871	Line:5|Circle:9	False	False	205.2866684
ho1031	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	23257.71	19599.45281	19599.45281	Line:4	True	True	234.8870793
ho1032	TESSELLATION	OK	OK	100	132	8	3.980257e-03	1.678541e-03	12637.87191	9552.991742	9552.946315	Line:4|Circle:4	False	False	250.4093138
ho1034	TESSELLATION	OK	OK	493	279	24	3.344409e-02	4.567511e-03	9435.803934	7319.698551	7319.890064	Line:4|Circle:1|BSpline:20	False	False	323.2328669
ho1037	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	26440.00602	22508.64809	22508.64809	Line:4	True	True	242.0582781
ho1039	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	16821.4	14496.18721	14496.18721	Line:4	True	True	201.7467968
ho104	TESSELLATION	OK	OK	100	132	8	4.440979e-03	2.498148e-03	12796.72816	9885.649191	9885.539894	Line:4|Circle:4	False	False	235.6708437
ho1040	NOT_BOTH_OK	OK	TIMEOUT	253	191	0			17067.41096	13386.68448	0	-	False	False	261.4554369
ho1041	OPPOSITE_DIRECTION	OK	OK	24	256	1	7.006715e+00	6.681093e+00	4632.46675	3861.411942	5473.133524	Circle:1	False	False	261.9275142
ho1043	TESSELLATION	OK	OK	1113	85	51	5.557807e-03	5.557807e-03	22268.39528	18642.86189	18642.88473	Line:3|BSpline:48	False	False	281.7454246
ho1046	AGREE	OK	OK	4	4	4	2.929643e-14	2.929643e-14	21089.72	17637.257	17637.257	Line:4	True	True	230.3104427
ho1047	AGREE	OK	OK	4	4	4	3.552714e-15	3.552714e-15	13179.3	10496.6189	10496.6189	Line:4	True	True	216.3630514
ho1051	TESSELLATION	OK	OK	997	81	47	5.537225e-03	5.537225e-03	21124.17204	17708.47808	17708.50075	Line:3|BSpline:44	False	False	298.1644418
ho1054	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	17415.86	14290.34436	14290.34436	Line:4	True	True	214.9287789
ho1055	TESSELLATION	OK	OK	100	132	8	5.213547e-03	2.932735e-03	12968.01913	10260.94995	10260.9306	Line:4|Circle:4	False	False	213.5817479
ho1058	TESSELLATION	OK	OK	1007	81	47	6.418637e-03	6.418637e-03	28208.94566	24019.62699	24019.65134	Line:3|BSpline:44	False	False	321.3674183
ho1060	AGREE	OK	OK	4	4	4	0.000000e+00	0.000000e+00	17886.55	14844.87358	14844.87358	Line:4	True	True	225.3866678
ho1066	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	41037.03	34930.2495	34930.2495	Line:4	True	True	309.1898284
ho1067	AGREE	OK	OK	4	4	4	5.684342e-14	5.684342e-14	18568.92	15944.34737	15944.34737	Line:4	True	True	215.9573106
ho107	TESSELLATION	OK	OK	298	920	14	9.236813e-02	3.292727e-03	13840.67269	7477.529182	7479.700214	Line:5|Circle:9	False	False	270.2402265
ho1076	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	10619.67	8482.24637	8482.24637	Line:4	True	True	203.0244074
ho1077	TESSELLATION	OK	OK	100	132	8	5.521136e-03	3.105760e-03	11294.72598	9093.828565	9093.780721	Line:4|Circle:4	False	False	188.2469184
ho108	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	11620.73	10082.14293	10082.14293	Line:4	True	True	159.0540474
ho1080	TESSELLATION	OK	OK	1009	81	47	5.950184e-03	5.950184e-03	27308.20533	23040.16468	23040.19085	Line:3|BSpline:44	False	False	312.3109007
ho1082	TESSELLATION	OK	OK	264	1170	16	1.191174e-01	3.505995e-03	11012.41813	6302.699744	6305.046001	Line:5|Circle:8	False	False	231.363329
ho1083	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	15082.32	12234.15949	12234.15949	Line:4	True	True	217.7766976
ho1084	TESSELLATION	OK	OK	252	262	56	7.508115e-03	3.243316e-03	21094.25658	16931.07381	16929.95914	BSpline:8	False	False	250.6319501
ho1087	TESSELLATION	OK	OK	545	285	26	6.500606e-02	3.682745e-03	6089.625812	4506.111225	4506.651476	Line:4|Circle:1|BSpline:21	False	False	262.9263018
ho1089	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	21439.6	17503.99447	17503.99447	Line:4	True	True	243.6260454
ho109	TESSELLATION	OK	OK	253	295	80	7.017679e-03	3.138262e-03	13318.87467	10866.30801	10866.27547	BSpline:8	False	False	197.1975689
ho1091	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	20339.84	17091.97403	17091.97403	Line:4	True	True	228.3949211
ho1092	TESSELLATION	OK	OK	100	260	8	5.709478e-03	1.626392e-03	14010.41947	11179.49236	11179.39312	Line:4|Circle:4	False	False	218.7162717
ho1094	TESSELLATION	OK	OK	1027	81	47	6.049376e-03	6.049376e-03	28556.56291	24098.09807	24098.12513	Line:3|BSpline:44	False	False	313.9263775
ho1097	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	32592.49	27038.12721	27038.12721	Line:4	True	True	292.0536081
ho1098	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	9139	7561.956444	7561.956444	Line:4	True	True	154.0595339
ho1099	TESSELLATION	OK	OK	100	260	8	6.322878e-03	1.578906e-03	15864.80675	12701.79457	12701.6636	Line:4|Circle:4	False	False	218.6033057
ho1104	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	32174.01	27149.80816	27149.80816	Line:4	True	True	270.9713453
ho1105	AGREE	OK	OK	4	4	4	0.000000e+00	0.000000e+00	8527.5	7098.524004	7098.524004	Line:4	True	True	152.7786962
ho111	OPPOSITE_DIRECTION	OK	OK	24	512	1	8.294552e+00	7.907007e+00	6475.324955	5396.622259	7652.059091	Circle:1	False	False	215.2553117
ho1112	AGREE	OK	OK	4	4	4	3.177644e-14	3.177644e-14	40806.48	34676.53673	34676.53673	Line:4	True	True	311.3455476
ho1114	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	6616.26	5549.518335	5549.518335	Line:4	True	True	142.3797036
ho1119	TESSELLATION	OK	OK	553	285	26	6.492439e-02	3.949260e-03	7002.806903	5221.093558	5221.633942	Line:4|Circle:1|BSpline:21	False	False	271.6956797
ho1122	TESSELLATION	OK	OK	255	897	17	1.564649e-01	2.957371e-03	11463.62309	7260.646769	7261.838054	Line:5|Circle:11	False	False	207.9831003
ho1123	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	18137.6	15087.93803	15087.93803	Line:4	True	True	209.056093
ho1124	TESSELLATION	OK	OK	100	260	8	7.080239e-03	2.064824e-03	23172.83719	18409.24468	18409.10816	Line:4|Circle:4	False	False	272.2375417
ho1129	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16356	13839.06651	13839.06651	Line:4	True	True	198.3529178
ho1130	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	8678.96	7140.919598	7140.919598	Line:4	True	True	158.1109104
ho1131	TESSELLATION	OK	OK	100	260	8	7.498379e-03	1.356373e-03	13517.40588	11068.04031	11067.73296	Line:4|Circle:4	False	False	186.5597008
ho1134	AGREE	OK	OK	1132	48	48	1.024759e-13	1.310176e-13	17220.89527	14723.08936	14723.08936	BSpline:48	False	True	249.623999
ho1137	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	27693.18	22736.53528	22736.53528	Line:4	True	True	285.1460854
ho1138	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	20000.53	16708.23191	16708.23191	Line:4	True	True	224.7422969
ho1139	TESSELLATION	OK	OK	100	260	8	6.721009e-03	2.020383e-03	20243.55289	16116.14421	16116.01534	Line:4|Circle:4	False	False	256.4703433
ho114	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	27505.6019	22844.60543	22844.60543	Line:4	True	True	264.4947447
ho1144	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	34037.29918	28109.85988	28109.85988	Line:4	True	True	287.6752683
ho1145	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	13420.32	10964.65429	10964.65429	Line:4	True	True	207.0433771
ho1149	TESSELLATION	OK	OK	1041	81	47	6.264887e-03	6.264887e-03	31973.38921	27069.90672	27069.93573	Line:3|BSpline:44	False	False	337.6711862
ho115	AGREE	OK	OK	4	4	4	2.246933e-14	2.246933e-14	17419.05	14772.54585	14772.54585	Line:4	True	True	193.0978508
ho1152	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	16350.06	14175.38904	14175.38904	Line:4	True	True	195.6298035
ho1153	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	14099.4	12216.63962	12216.63962	Line:4	True	True	186.498311
ho1154	TESSELLATION	OK	OK	253	289	71	6.753075e-03	2.943871e-03	12265.96306	10021.3608	10021.42309	BSpline:8	False	False	191.9190723
ho1155	OPPOSITE_DIRECTION	OK	OK	24	256	1	5.412233e+00	5.161008e+00	2771.167396	2310.463286	3273.409981	Circle:1	False	False	252.3867706
ho1157	TESSELLATION	OK	OK	1019	81	47	6.440505e-03	6.440505e-03	23488.83727	19664.46636	19664.49059	Line:3|BSpline:44	False	False	283.9246794
ho116	TESSELLATION	OK	OK	253	303	37	6.959912e-03	1.800343e-03	22201.36968	17644.71238	17645.49378	BSpline:8	False	False	276.9668835
ho1160	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	32178.96	27611.74007	27611.74007	Line:4	True	True	267.0775543
ho1162	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	8857.7	7482.860298	7482.860298	Line:4	True	True	156.4272994
ho1166	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	32764.55	28556.70248	28556.70248	Line:4	True	True	270.1771641
ho1167	AGREE	OK	OK	4	4	4	2.929643e-14	2.929643e-14	19652.19	16440.38935	16440.38935	Line:4	True	True	222.3564256
ho1168	TESSELLATION	OK	OK	100	132	8	3.836006e-03	2.157838e-03	13005.74839	9722.51653	9722.488712	Line:4|Circle:4	False	False	264.5686206
ho1171	TESSELLATION	OK	OK	1075	83	49	5.035741e-03	5.035741e-03	18970.00339	15927.39547	15927.41422	Line:3|BSpline:46	False	False	259.9376208
ho1173	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	30613.49	24944.40585	24944.40585	Line:4	True	True	290.8051409
ho1174	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	13278.39	11118.32813	11118.32813	Line:4	True	True	193.5248563
ho1175	TESSELLATION	OK	OK	100	132	8	4.772266e-03	2.684504e-03	7900.199076	6382.781736	6382.740808	Line:4|Circle:4	False	False	151.6925042
ho1178	TESSELLATION	OK	OK	1115	85	51	6.397778e-03	6.397778e-03	23200.37437	19415.06093	19415.08484	Line:3|BSpline:48	False	False	283.4179838
ho1180	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	14040.96	11517.91095	11517.91095	Line:4	True	True	201.2900643
ho1184	TESSELLATION	OK	OK	1003	81	47	8.576320e-03	8.576320e-03	37192.46719	30889.17591	30889.21887	Line:3|BSpline:44	False	False	375.0484824
ho1187	TESSELLATION	OK	OK	82	394	6	2.823245e-01	2.484768e-03	21052.75217	16778.92258	16779.45362	Line:5|Circle:1	False	False	233.9955899
ho1189	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	24041.1	20197.11391	20197.11391	Line:4	True	True	234.7347013
ho119	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	23974.72	20526.03372	20526.03372	Line:4	True	True	233.4379789
ho1190	TESSELLATION	OK	OK	252	206	92	5.626882e-03	3.079236e-03	11317.74026	9175.678176	9176.164424	BSpline:8	False	False	192.5508152
ho1191	OPPOSITE_DIRECTION	OK	OK	24	512	1	7.633978e+00	7.275469e+00	5541.769305	4623.329675	6543.204528	Circle:1	False	False	234.5421216
ho1195	AGREE	OK	OK	4	4	4	5.684342e-14	5.684342e-14	32787.78422	27091.36249	27091.36249	Line:4	True	True	281.7063365
ho1196	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	11958.64	9719.543023	9719.543023	Line:4	True	True	199.8686068
ho1197	TESSELLATION	OK	OK	100	132	8	3.780605e-03	2.140298e-03	8693.926153	6759.57136	6759.476031	Line:4|Circle:4	False	False	188.0968827
ho12	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	15266.94	12935.78698	12935.78698	Line:4	True	True	192.8360443
ho120	AGREE	OK	OK	4	4	4	2.842171e-14	2.842171e-14	12981.66	10838.75505	10838.75505	Line:4	True	True	186.2131574
ho1200	TESSELLATION	OK	OK	548	287	26	7.639403e-02	3.572132e-03	5729.560099	4170.174651	4170.872573	Line:4|Circle:1|BSpline:21	False	False	259.6847453
ho1203	TESSELLATION	OK	OK	315	892	16	6.960060e-02	2.538693e-03	18821.34093	11688.38737	11690.55259	Line:5|Circle:9	False	False	271.0162541
ho1205	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	3358.96	2630.421159	2630.421159	Line:4	True	True	137.2368026
ho1209	AGREE	OK	OK	1116	48	48	1.052107e-13	1.109903e-13	16168.15162	13710.84855	13710.84855	BSpline:48	False	True	248.9958213
ho121	TESSELLATION	OK	OK	100	132	8	5.239547e-03	1.384974e-03	8836.550879	7164.731216	7164.674811	Line:4|Circle:4	False	False	165.7342545
ho1211	AGREE	OK	OK	4	4	4	4.263256e-14	4.263256e-14	24256.1749	20473.1554	20473.1554	Line:4	True	True	246.4646831
ho1212	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	11260.15	9125.205887	9125.205887	Line:4	True	True	189.1793329
ho1215	TESSELLATION	OK	OK	1035	81	47	4.285332e-03	4.285332e-03	13839.52064	11635.23694	11635.25052	Line:3|BSpline:44	False	False	223.6194253
ho1218	AGREE	OK	OK	4	4	4	0.000000e+00	0.000000e+00	19835.2	16995.63274	16995.63274	Line:4	True	True	209.8712224
ho1219	TESSELLATION	OK	OK	100	260	8	6.973740e-03	2.222700e-03	22448.68241	17817.19721	17817.06694	Line:4|Circle:4	False	False	278.0812447
ho1220	OPPOSITE_DIRECTION	OK	OK	24	256	1	7.211702e+00	6.876053e+00	4926.519815	4108.09145	5818.680031	Circle:1	False	False	247.1378502
ho1224	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	10423.25	8984.061984	8984.061984	Line:4	True	True	162.312384
ho1228	AGREE	OK	OK	4	4	4	2.561898e-14	2.561898e-14	33290.33914	27293.23069	27293.23069	Line:4	True	True	297.3101747
ho1229	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	8063.79	6832.74882	6832.74882	Line:4	True	True	139.1194451
ho1230	TESSELLATION	OK	OK	100	132	8	3.860324e-03	1.589090e-03	11336.61425	8614.887927	8614.836904	Line:4|Circle:4	False	False	234.1071835
ho1234	TESSELLATION	OK	OK	569	282	27	7.961749e-02	5.768289e-03	14748.76868	11198.74915	11199.54069	Line:4|Circle:1|BSpline:22	False	False	365.5575269
ho1237	AGREE	OK	OK	4	4	4	1.421085e-14	1.421085e-14	28838.55	24098.99173	24098.99173	Line:4	True	True	253.2665592
ho1238	AGREE	OK	OK	4	4	4	2.561898e-14	2.561898e-14	15114.5	12912.34756	12912.34756	Line:4	True	True	196.7074223
ho124	AGREE	OK	OK	4	4	4	2.929643e-14	2.929643e-14	24332.18	20213.40874	20213.40874	Line:4	True	True	263.7663739
ho1241	OPPOSITE_DIRECTION	OK	OK	24	256	1	4.223142e+00	4.026445e+00	1690.930788	1410.151211	1996.992698	Circle:1	False	False	223.0441631
ho1243	AGREE	OK	OK	1120	48	48	1.273197e-13	1.379624e-13	22267.6552	18887.49632	18887.49632	BSpline:48	False	True	282.7904507
ho1245	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	10440.08	8971.335586	8971.335586	Line:4	True	True	162.2456471
ho1248	OPPOSITE_DIRECTION	OK	OK	24	256	1	4.953871e+00	4.721578e+00	2357.5492	1968.652219	2781.208262	Circle:1	False	False	219.6493161
ho125	AGREE	OK	OK	4	4	4	2.131628e-14	2.131628e-14	7621.92	6325.248257	6325.248257	Line:4	True	True	158.2087545
ho1250	TESSELLATION	OK	OK	544	533	26	9.737995e-02	5.330683e-03	12759.01611	9386.71903	9388.240658	Line:4|Circle:1|BSpline:20	False	False	386.4067067
ho1253	AGREE	OK	OK	4	4	4	2.009718e-14	2.009718e-14	26656	22954.19092	22954.19092	Line:4	True	True	241.4593133
ho1254	AGREE	OK	OK	4	4	4	2.246933e-14	2.246933e-14	11378.82	9987.999824	9987.999824	Line:4	True	True	161.8332784
ho1255	TESSELLATION	OK	OK	100	132	8	2.877114e-03	2.608451e-03	11735.49692	9256.968806	9256.748115	Line:4|Circle:4	False	False	208.7625912
ho1259	AGREE	OK	OK	4	4	4	3.177644e-14	3.177644e-14	24180.18503	19752.25835	19752.25835	Line:4	True	True	261.623489
ho126	TESSELLATION	OK	OK	253	303	77	7.393281e-03	2.022263e-03	23618.7694	18853.23275	18854.06773	BSpline:8	False	False	286.5140695
ho1260	AGREE	OK	OK	4	4	4	7.105427e-15	7.105427e-15	11255.8	9080.461826	9080.461826	Line:4	True	True	188.3233921
ho1266	TESSELLATION	OK	OK	302	998	14	1.711648e-01	5.781868e-03	11485.63644	6354.372552	6356.109964	Line:5|Circle:8	False	False	239.674638
ho1267	AGREE	OK	OK	4	4	4	1.588822e-14	1.588822e-14	20794.8	17738.01763	17738.01763	Line:4	True	True	219.4012306
ho1268	TESSELLATION	OK	OK	100	132	8	4.111479e-03	2.312797e-03	11011.34195	8503.227745	8503.134998	Line:4|Circle:4	False	False	219.0638894
ho1272	TESSELLATION	OK	OK	364	970	16	6.926348e-02	2.979768e-03	8779.963857	4619.504698	4621.382037	Line:5|Circle:9	False	False	226.4518713
ho1274	AGREE	OK	OK	4	4	4	1.464821e-14	1.464821e-14	11550.6	9522.882336	9522.882336	Line:4	True	True	195.112916
ho1278	TESSELLATION	OK	OK	554	285	26	7.772525e-02	5.331209e-03	12598.49057	9473.349487	9474.146222	Line:4|Circle:1|BSpline:21	False	False	357.3670645
