part	class	n_edge	n_line	n_circle	n_ellipse	n_bspline	n_bezier	n_other	planar_face_ok	engine	reason
ho0	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho10	LINE_ARC	6	3	3	0	0	0	0	1	SOLID	prof_edge_not_line
ho1001	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1002	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1005	HAS_BSPLINE	26	4	1	0	21	0	0	1	SOLID	prof_edge_not_line
ho1008	LINE_ARC	9	3	6	0	0	0	0	1	SOLID	prof_edge_not_line
ho1010	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1011	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1014	HAS_BSPLINE	48	0	0	0	48	0	0	1	SOLID	prof_edge_not_line
ho1017	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1019	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho102	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1020	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1024	LINE_ARC	14	5	9	0	0	0	0	1	SOLID	prof_edge_not_line
ho1025	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho103	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1030	LINE_ARC	14	5	9	0	0	0	0	1	SOLID	prof_edge_not_line
ho1031	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1032	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1034	HAS_BSPLINE	25	4	1	0	20	0	0	1	SOLID	prof_edge_not_line
ho1037	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1039	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho104	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1040	HAS_BSPLINE	8	0	0	0	8	0	0	1	SOLID	prof_edge_not_line
ho1041	ARC_ONLY	1	0	1	0	0	0	0	1	SOLID	prof_edge_not_line
ho1043	HAS_BSPLINE	51	3	0	0	48	0	0	1	SOLID	prof_edge_not_line
ho1046	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1047	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1051	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho1054	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1055	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1058	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho1060	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1066	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1067	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho107	LINE_ARC	14	5	9	0	0	0	0	1	SOLID	prof_edge_not_line
ho1076	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1077	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho108	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1080	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho1082	LINE_ARC	13	5	8	0	0	0	0	1	SOLID	prof_edge_not_line
ho1083	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1084	HAS_BSPLINE	8	0	0	0	8	0	0	1	SOLID	prof_edge_not_line
ho1087	HAS_BSPLINE	26	4	1	0	21	0	0	1	SOLID	prof_edge_not_line
ho1089	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho109	HAS_BSPLINE	8	0	0	0	8	0	0	1	SOLID	prof_edge_not_line
ho1091	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1092	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1094	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho1097	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1098	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1099	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1104	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1105	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho111	ARC_ONLY	1	0	1	0	0	0	0	1	SOLID	prof_edge_not_line
ho1112	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1114	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1119	HAS_BSPLINE	26	4	1	0	21	0	0	1	SOLID	prof_edge_not_line
ho1122	LINE_ARC	16	5	11	0	0	0	0	1	SOLID	prof_edge_not_line
ho1123	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1124	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1129	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1130	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1131	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1134	HAS_BSPLINE	48	0	0	0	48	0	0	1	SOLID	prof_edge_not_line
ho1137	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1138	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1139	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho114	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1144	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1145	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1149	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho115	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1152	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1153	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1154	HAS_BSPLINE	8	0	0	0	8	0	0	1	SOLID	prof_edge_not_line
ho1155	ARC_ONLY	1	0	1	0	0	0	0	1	SOLID	prof_edge_not_line
ho1157	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho116	HAS_BSPLINE	8	0	0	0	8	0	0	1	SOLID	prof_edge_not_line
ho1160	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1162	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1166	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1167	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1168	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1171	HAS_BSPLINE	49	3	0	0	46	0	0	1	SOLID	prof_edge_not_line
ho1173	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1174	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1175	LINE_ARC	8	4	4	0	0	0	0	1	SOLID	prof_edge_not_line
ho1178	HAS_BSPLINE	51	3	0	0	48	0	0	1	SOLID	prof_edge_not_line
ho1180	LINE_ONLY	4	4	0	0	0	0	0	1	SOLID	
ho1184	HAS_BSPLINE	47	3	0	0	44	0	0	1	SOLID	prof_edge_not_line
ho1187	LINE_ARC	6	5	1	0	0	0	0	1	SOLID	prof_edge_not_line
