part	defer_reason	n_ring1	n_ring2	badQuads_raw_index	badQuads_best_correspondence	normal_angle_deg	face_adjacency	engine_before_canonicalRing	engine_after_canonicalRing
ho0	F_lateral_quad_non_planar	4	4	2	0	180.00	disjoint	NULL	SHAPE
ho1	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho10	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1001	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1002	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1005	B_section_has_non_line_edge	2	0	-1	-1	180.00	disjoint	NULL	NULL
ho1008	B_section_has_non_line_edge	3	0	-1	-1	180.00	disjoint	NULL	NULL
ho1010	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1011	B_section_has_non_line_edge	0	1	-1	-1	180.00	disjoint	NULL	NULL
ho1014	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1017	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1019	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho102	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1020	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1024	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1025	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho103	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1030	B_section_has_non_line_edge	0	4	-1	-1	90.00	ADJACENT	NULL	NULL
ho1031	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1032	B_section_has_non_line_edge	0	1	-1	-1	180.00	disjoint	NULL	NULL
ho1034	B_section_has_non_line_edge	2	2	-1	-1	180.00	disjoint	NULL	NULL
ho1037	F_lateral_quad_non_planar	4	4	2	0	180.00	disjoint	NULL	SHAPE
ho1039	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho104	B_section_has_non_line_edge	0	1	-1	-1	180.00	disjoint	NULL	NULL
ho1040	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1041	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1043	B_section_has_non_line_edge	1	3	-1	-1	180.00	disjoint	NULL	NULL
ho1046	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1047	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1051	B_section_has_non_line_edge	3	1	-1	-1	180.00	disjoint	NULL	NULL
ho1054	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1055	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1058	B_section_has_non_line_edge	1	2	-1	-1	180.00	disjoint	NULL	NULL
ho1060	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1066	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1067	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho107	B_section_has_non_line_edge	5	2	-1	-1	180.00	disjoint	NULL	NULL
ho1076	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1077	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho108	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1080	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1082	B_section_has_non_line_edge	5	2	-1	-1	180.00	disjoint	NULL	NULL
ho1083	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1084	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1087	B_section_has_non_line_edge	2	0	-1	-1	180.00	disjoint	NULL	NULL
ho1089	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho109	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1091	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1092	B_section_has_non_line_edge	0	1	-1	-1	180.00	disjoint	NULL	NULL
ho1094	B_section_has_non_line_edge	0	2	-1	-1	180.00	disjoint	NULL	NULL
ho1097	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1098	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1099	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1104	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1105	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho111	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1112	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1114	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1119	B_section_has_non_line_edge	2	0	-1	-1	180.00	disjoint	NULL	NULL
ho1122	B_section_has_non_line_edge	5	0	-1	-1	180.00	disjoint	NULL	NULL
ho1123	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1124	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1129	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1130	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1131	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1134	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1137	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1138	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1139	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho114	F_lateral_quad_non_planar	4	4	2	0	180.00	disjoint	NULL	SHAPE
ho1144	F_lateral_quad_non_planar	4	4	2	0	180.00	disjoint	NULL	SHAPE
ho1145	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1149	B_section_has_non_line_edge	1	2	-1	-1	180.00	disjoint	NULL	NULL
ho115	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1152	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1153	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1154	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1155	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1157	B_section_has_non_line_edge	1	2	-1	-1	180.00	disjoint	NULL	NULL
ho116	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1160	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1162	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1166	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1167	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1168	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1171	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1173	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1174	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1175	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1178	B_section_has_non_line_edge	1	3	-1	-1	180.00	disjoint	NULL	NULL
ho1180	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1184	B_section_has_non_line_edge	3	1	-1	-1	180.00	disjoint	NULL	NULL
ho1187	B_section_has_non_line_edge	4	3	-1	-1	180.00	disjoint	NULL	NULL
ho1189	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho119	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1190	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1191	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho1195	F_lateral_quad_non_planar	4	4	2	0	180.00	disjoint	NULL	SHAPE
ho1196	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1197	B_section_has_non_line_edge	0	0	-1	-1	180.00	disjoint	NULL	NULL
ho12	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho120	F_lateral_quad_non_planar	4	4	4	0	180.00	disjoint	NULL	SHAPE
ho1200	B_section_has_non_line_edge	2	0	-1	-1	180.00	disjoint	NULL	NULL
