part	nFaces	nPlanar	nCurved	unsupported	curvedMultiWire	curvedPartialRev	planarPolyWire	planarMultiEdgeWire	planarOk	curvedOk	rung_THICKSOLID	rung_OFFSETSHAPE	eng_TS	eng_OS	control
ho0	144	17	54	73	0	14	10	0	7	40	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1	180	174	6	0	0	0	172	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho10	77	33	44	0	0	10	28	0	5	34	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1001	46	16	30	0	0	0	6	0	10	30	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1002	306	300	6	0	0	0	298	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1005	155	31	26	98	3	5	27	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1008	80	37	43	0	0	12	29	0	8	31	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1010	308	302	6	0	0	0	300	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1011	36	13	10	13	0	0	11	0	2	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1014	174	25	29	120	2	6	21	0	4	21	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1017	46	16	30	0	0	0	6	0	10	30	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1019	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho102	83	33	50	0	0	14	28	0	5	36	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1020	38	16	10	12	0	0	11	0	5	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1024	111	53	58	0	0	26	46	0	7	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1025	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho103	298	292	6	0	0	0	290	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1030	92	44	48	0	0	17	33	0	11	31	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1031	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1032	35	12	10	13	0	0	10	0	2	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1034	166	30	26	110	4	5	26	0	4	17	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1037	120	16	46	58	0	8	6	0	10	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1039	288	282	6	0	0	0	280	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho104	37	14	10	13	0	0	13	0	1	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1040	122	14	23	85	0	10	11	0	3	13	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1041	22	7	15	0	0	0	0	0	7	15	PASSED_S1_S3	PASSED_S1_S3	0	1	ok
ho1043	174	27	27	120	3	5	23	0	4	19	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1046	61	21	40	0	0	6	15	0	6	34	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1047	192	186	6	0	0	0	184	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1051	184	27	35	122	3	5	23	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1054	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1055	31	13	6	12	0	0	11	0	2	6	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1058	180	31	31	118	4	5	27	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1060	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1066	76	32	44	0	0	12	27	0	5	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1067	288	282	6	0	0	0	280	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho107	103	51	52	0	0	23	43	0	8	29	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1076	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1077	34	14	10	10	0	0	10	0	4	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho108	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1080	178	31	35	112	3	5	27	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1082	74	31	43	0	0	9	24	0	7	34	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1083	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1084	123	15	24	84	0	10	11	0	4	14	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1087	157	30	31	96	3	6	26	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1089	48	16	32	0	0	0	6	0	10	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho109	111	15	20	76	0	10	11	0	4	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1091	286	280	6	0	0	0	278	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1092	34	13	8	13	0	0	10	0	3	8	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1094	168	31	27	110	4	5	27	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1097	70	24	46	0	0	9	18	0	6	37	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1098	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1099	32	14	6	12	0	0	12	0	2	6	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1104	42	16	26	0	0	0	6	0	10	26	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1105	328	322	6	0	0	0	320	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho111	29	7	22	0	0	8	2	0	5	14	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1112	90	42	48	0	0	16	37	0	5	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1114	384	378	6	0	0	0	376	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1119	156	31	27	98	3	6	27	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1122	66	27	39	0	0	8	22	0	5	31	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1123	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1124	33	13	10	10	0	0	10	0	3	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1129	52	18	34	0	0	0	6	0	12	34	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1130	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1131	37	17	8	12	0	0	12	0	5	8	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1134	171	26	27	118	1	5	22	0	4	21	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1137	48	17	31	0	0	2	10	0	7	29	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1138	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1139	33	13	10	10	0	0	10	0	3	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho114	138	17	52	69	0	14	10	0	7	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1144	120	16	46	58	0	8	6	0	10	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1145	358	352	6	0	0	0	350	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1149	180	31	35	114	3	5	27	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho115	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1152	87	41	46	0	0	15	32	0	9	31	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1153	288	282	6	0	0	0	280	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1154	118	16	23	79	0	10	11	0	5	13	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1155	43	14	29	0	0	16	10	0	4	13	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1157	176	31	35	110	4	5	27	0	4	26	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho116	97	12	18	67	0	7	9	0	3	11	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1160	42	16	26	0	0	0	6	0	10	26	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1162	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1166	86	36	50	0	0	18	31	0	5	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1167	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1168	31	11	10	10	0	0	10	0	1	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1171	179	29	34	116	2	8	25	0	4	24	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1173	54	18	36	0	0	0	6	0	12	36	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1174	294	288	6	0	0	0	286	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1175	37	15	10	12	0	0	10	0	5	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1178	176	27	27	122	3	5	23	0	4	19	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1180	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1184	176	27	31	118	3	5	23	0	4	23	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1187	48	18	30	0	0	0	9	0	9	30	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1189	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho119	54	18	36	0	0	0	6	0	12	36	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1190	124	16	25	83	0	10	11	0	5	15	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1191	22	7	15	0	0	0	0	0	7	15	PASSED_S1_S3	PASSED_S1_S3	0	1	ok
ho1195	120	16	46	58	0	8	6	0	10	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1196	328	322	6	0	0	0	320	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1197	33	13	8	12	0	0	11	0	2	8	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho12	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho120	170	164	6	0	0	0	162	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1200	165	31	30	104	3	5	27	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1203	93	42	51	0	0	19	35	0	7	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1205	384	378	6	0	0	0	376	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1209	178	25	31	122	3	6	21	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho121	38	16	10	12	0	0	11	0	5	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1211	138	17	52	69	0	14	10	0	7	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1212	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1215	181	33	40	108	3	10	29	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1218	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1219	34	14	8	12	0	0	11	0	3	8	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1220	22	7	15	0	0	0	0	0	7	15	PASSED_S1_S3	PASSED_S1_S3	0	1	ok
ho1224	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1228	126	16	48	62	0	8	6	0	10	40	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1229	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1230	30	10	10	10	0	0	8	0	2	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1234	168	31	31	106	3	6	27	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1237	42	16	26	0	0	0	6	0	10	26	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1238	286	280	6	0	0	0	278	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho124	89	39	50	0	0	17	32	0	7	33	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1241	22	7	15	0	0	0	0	0	7	15	PASSED_S1_S3	PASSED_S1_S3	0	1	ok
ho1243	182	26	32	124	3	3	22	0	4	26	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1245	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1248	52	7	40	5	0	0	0	0	7	40	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho125	384	378	6	0	0	0	376	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1250	159	31	26	102	3	5	27	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1253	61	22	39	0	0	4	14	0	8	35	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1254	286	280	6	0	0	0	278	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1255	31	12	6	13	0	0	10	0	2	6	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1259	120	16	46	58	0	8	6	0	10	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho126	97	12	18	67	0	7	9	0	3	11	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1260	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1266	95	41	54	0	0	19	33	0	8	35	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1267	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1268	36	13	10	13	0	0	12	0	1	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1272	109	51	58	0	0	25	46	0	5	33	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1274	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1278	169	31	34	104	4	5	27	0	4	25	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1281	97	45	52	0	0	19	39	0	6	33	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1282	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1287	180	27	35	118	3	5	23	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1290	69	29	40	0	0	11	24	0	5	29	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1291	300	294	6	0	0	0	292	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1292	127	12	33	82	0	13	10	0	2	20	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1295	180	31	31	118	3	5	27	0	4	23	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1298	92	40	52	0	0	17	33	0	7	35	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1299	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho13	104	13	21	70	0	7	9	0	4	14	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho130	120	16	46	58	0	8	6	0	10	38	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1306	58	18	40	0	0	0	6	0	12	40	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1308	288	282	6	0	0	0	280	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1309	111	15	20	76	0	10	11	0	4	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1313	179	26	31	122	2	5	22	0	4	24	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1316	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho132	298	292	6	0	0	0	290	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1322	64	24	40	0	0	8	19	0	5	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1323	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1327	160	31	31	98	3	6	27	0	4	22	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho133	123	15	24	84	0	10	11	0	4	14	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1330	109	50	59	0	0	25	44	0	6	34	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1331	298	292	6	0	0	0	290	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1333	46	7	34	5	0	0	0	0	7	34	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1335	172	27	31	114	3	5	23	0	4	23	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1338	60	23	37	0	0	5	17	0	6	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1339	172	166	6	0	0	0	164	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1342	29	7	22	0	0	8	2	0	5	14	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1344	171	32	27	112	4	5	28	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1346	58	21	37	0	0	6	16	0	5	31	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1348	384	378	6	0	0	0	376	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1349	32	14	6	12	0	0	11	0	3	6	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1352	180	31	35	114	3	5	27	0	4	27	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1355	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho1356	35	13	10	12	0	0	11	0	2	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1359	162	31	27	104	3	6	27	0	4	18	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1362	158	18	59	81	0	8	6	0	12	51	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho1363	312	306	6	0	0	0	304	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho137	63	24	39	0	0	4	16	0	8	35	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho138	88	82	6	0	0	0	80	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho14	27	6	21	0	0	8	2	0	4	13	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho142	117	52	65	0	0	33	46	0	6	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho143	284	278	6	0	0	0	276	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho147	96	45	51	0	0	20	39	0	6	31	S2_planar_wire_edge_not_full_circle	S1_offset_surface_null	0	0	ok
ho148	358	352	6	0	0	0	350	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho153	107	49	58	0	0	26	42	0	7	32	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho155	196	190	6	0	0	0	188	0	2	6	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
ho156	37	15	10	12	0	0	12	0	3	10	S1_unsupported_surface	S1_unsupported_surface	0	0	ok
ho160	95	43	52	0	0	19	37	0	6	33	S2_planar_wire_edge_not_full_circle	S2_planar_wire_edge_not_full_circle	0	0	ok
