# forge app surface -- the commands a user can invoke.
# GENERATED by ui/test/capability_manifest_test.cpp from the live registry.
# Regenerate: FORGE_WRITE_APP_SURFACE=1 <capability_manifest_test binary>
# id	category	featureIrOp	sideEffect	undo	preview	version	params
app.command_palette	Application	-	application	none	none	1	-
edit.delete	Edit	DELETE	document	transaction	none	1	-
edit.redo	Edit	-	document	none	none	1	-
edit.undo	Edit	-	document	none	none	1	-
file.new	File	-	application	none	none	1	-
file.open	File	-	application	none	none	1	path:text:required
file.save	File	-	application	none	none	1	path:text:optional
model.extrude	Model	EXTRUDE	document	transaction	live	1	distance:number:required:hasdefault
model.fillet	Model	FILLET	document	transaction	live	1	radius:number:required:hasdefault
model.shell	Model	SHELL	document	transaction	ondemand	1	thickness:number:required:hasdefault
part.boolean_intersect	Part	COMMON	document	transaction	none	1	-
part.boolean_subtract	Part	CUT	document	transaction	none	1	-
part.boolean_union	Part	FUSE	document	transaction	none	1	-
part.chamfer	Part	CHAMFER	document	transaction	live	1	distance:number:required,selector:text:optional
part.counterbore	Part	CBORE	document	transaction	ondemand	1	diameter:number:required,cbore_diameter:number:required,cbore_depth:number:required,x:number:optional,y:number:optional,z:number:optional
part.extrude	Part	EXTRUDE	document	transaction	live	1	distance:number:required,dirx:number:optional,diry:number:optional,dirz:number:optional
part.fillet	Part	FILLET	document	transaction	live	1	radius:number:required,selector:text:optional
part.hole	Part	HOLE	document	transaction	ondemand	1	diameter:number:required,x:number:optional,y:number:optional,z:number:optional,depth:number:optional
part.loft	Part	LOFT	document	transaction	ondemand	1	ruled:flag:optional,open:flag:optional
part.mirror	Part	MIRROR	document	transaction	ondemand	1	plane:text:required
part.pattern_circular	Part	PATTERN	document	transaction	ondemand	1	count:number:required,total_angle:number:optional
part.pattern_grid	Part	PATTERN	document	transaction	ondemand	1	nx:number:required,ny:number:required,dx:number:required,dy:number:required
part.pattern_linear	Part	PATTERN	document	transaction	ondemand	1	count:number:required,dx:number:required,dy:number:optional,dz:number:optional
part.redo	Part	-	document	none	none	1	-
part.revolve	Part	REVOLVE	document	transaction	live	1	angle:number:required,axx:number:optional,axy:number:optional,axz:number:optional
part.shell	Part	SHELL	document	transaction	ondemand	1	thickness:number:required,open_axx:number:optional,open_axy:number:optional,open_axz:number:optional
part.sketch_rect	Part	RECT	document	transaction	live	1	width:number:required,height:number:required,cx:number:optional,cy:number:optional
part.undo	Part	-	document	none	none	1	-
part.variable_fillet	Part	BLEND	document	transaction	ondemand	1	radius_start:number:required,radius_end:number:required,smooth:flag:optional
view.fit	View	-	view	none	none	1	-
view.wireframe	View	-	view	none	none	1	-
workspace.next	Application	-	application	none	none	1	-
