tag	published_at	asset_name	size_bytes	download_count	content_type
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-arm64.dmg	135810065	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-arm64.dmg.blockmap	142931	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-arm64.zip	131459217	0	application/zip
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-arm64.zip.blockmap	137244	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-x64.dmg	141126444	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-x64.dmg.blockmap	147943	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-x64.zip	136706695	0	application/zip
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-x64.zip.blockmap	142956	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	ArchDisc-1.0.269-x86_64.AppImage	141994154	0	application/octet-stream
v1.0.269	2026-05-22T17:31:57Z	latest-linux.yml	388	0	text/yaml
v1.0.269	2026-05-22T17:31:57Z	latest-mac.yml	818	0	text/yaml
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-arm64.dmg	135807781	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-arm64.dmg.blockmap	144109	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-arm64.zip	131463190	0	application/zip
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-arm64.zip.blockmap	138095	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-x64.dmg	141130248	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-x64.dmg.blockmap	149681	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-x64.zip	136710668	0	application/zip
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-x64.zip.blockmap	143773	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	ArchDisc-1.0.270-x86_64.AppImage	141998804	0	application/octet-stream
v1.0.270	2026-05-22T17:34:40Z	latest-linux.yml	388	0	text/yaml
v1.0.270	2026-05-22T17:34:40Z	latest-mac.yml	818	0	text/yaml
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-arm64.dmg	135827117	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-arm64.dmg.blockmap	144015	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-arm64.zip	131466963	0	application/zip
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-arm64.zip.blockmap	138171	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-x64.dmg	141127221	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-x64.dmg.blockmap	148432	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-x64.zip	136714441	0	application/zip
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-x64.zip.blockmap	143733	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-1.0.271-x86_64.AppImage	141998779	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-Setup-1.0.271.exe	116663132	1	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	ArchDisc-Setup-1.0.271.exe.blockmap	121014	0	application/octet-stream
v1.0.271	2026-05-22T17:37:42Z	latest-linux.yml	388	0	text/yaml
v1.0.271	2026-05-22T17:37:42Z	latest-mac.yml	818	0	text/yaml
v1.0.271	2026-05-22T17:37:42Z	latest.yml	351	0	text/yaml
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-arm64.dmg	135813153	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-arm64.dmg.blockmap	141763	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-arm64.zip	131462490	0	application/zip
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-arm64.zip.blockmap	137387	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-x64.dmg	141120143	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-x64.dmg.blockmap	148077	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-x64.zip	136709968	0	application/zip
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-x64.zip.blockmap	143252	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-1.0.272-x86_64.AppImage	142002401	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-Setup-1.0.272.exe	116667019	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	ArchDisc-Setup-1.0.272.exe.blockmap	121329	0	application/octet-stream
v1.0.272	2026-05-22T18:25:17Z	latest-linux.yml	388	0	text/yaml
v1.0.272	2026-05-22T18:25:17Z	latest-mac.yml	818	0	text/yaml
v1.0.272	2026-05-22T18:25:17Z	latest.yml	351	0	text/yaml
v1.0.273	2026-05-22T18:28:49Z	ArchDisc-1.0.273-arm64.dmg	135813165	0	application/octet-stream
v1.0.273	2026-05-22T18:28:49Z	ArchDisc-1.0.273-arm64.dmg.blockmap	141676	0	application/octet-stream
